"","X","stage","time","mass","Temp"
"1",1,"L1",7.67,0.000265861217678245,15
"2",2,"L1",2.67,0.000246240164460974,20
"3",3,"L1",2.74,0.000246240164460974,25
"4",4,"L1",0.96,0.000246240164460974,27
"5",5,"L1",1.18,0.000236979535588777,30
"6",6,"L1",1.42,0.000219490004322058,34
"7",1,"L2",8.88,0.00074,15
"8",2,"L2",1.43,0.00059,20
"9",3,"L2",1.35,0.00056,25
"10",4,"L2",0.77,0.00049,27
"11",5,"L2",0.89,0.00046,30
"12",6,"L2",1.31,0.00042,34
"13",7,"L3",14.97,0.0016,15
"14",8,"L3",1.62,0.00164,20
"15",9,"L3",1.37,0.00136,25
"16",10,"L3",0.96,0.00134,27
"17",11,"L3",0.98,0.00125,30
"18",12,"L3",0.84,0.00109,34
"19",13,"L4",15.31,0.00429,15
"20",14,"L4",3.59,0.00421,20
"21",15,"L4",3.15,0.00401,25
"22",16,"L4",1.78,0.00372,27
"23",17,"L4",1.94,0.00304,30
"24",18,"L4",1.49,0.00235,34
"25",19,"pupal",8.49,0.00598,15
"26",20,"pupal",3.11,0.00576,20
"27",21,"pupal",3.03,0.00424,25
"28",22,"pupal",1.79,0.00403,27
"29",23,"pupal",1.82,0.00395,30
"30",24,"pupal",1.09,0.0032,34
